"Edit","Forward Sexp","Ctrl+Alt+F","Editing Text"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Task","Mark Task Read","Shift+Alt+R","In Tasks View"
"Task","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Run/Debug","Run to Line","Ctrl+X Ctrl+A Ctrl+U","Debugging"
"Text Editing","Down List","Ctrl+Alt+Down","Editing Text"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"gazonk.del","Delete Previous Word","Esc Backspace","In Console View"
"Text Editing","Universal Argument","Ctrl+7","Editing Text"
"Text Editing","Kbd Macro Call","Ctrl+X Ctrl+K K","Editing Text"
"Text Editing","Scroll Down","Esc V","Editing Text"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Text Editing","Forward Paragraph","Shift+Alt+]","Editing Text"
"Edit","Transpose Sexps","Ctrl+Alt+T","Editing Text"
"Navigate","Previous","Ctrl+,","In Windows"
"Text Editing","Kbd Macro Bind To Key","Ctrl+X Ctrl+K B","Editing Text"
"Edit","Redo","Ctrl+X R","In Windows"
"Text Editing","Other Window","Ctrl+X O","In Windows"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Text Editing","Recenter Top Bottom","Ctrl+L","In Windows"
"Edit","Backward Sexp","Ctrl+Alt+B","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+-","Editing Text"
"C/C++ Source","Add Include","Shift+Ctrl+N","C/C++ Editor"
"Task","Quick Outline","Ctrl+O","In Tasks Editor"
"Text Editing","Select Text Start","Ctrl+Space","Editing Text"
"Edit","Restore Last C/C++ Selection","Shift+Alt+Down","C/C++ Editor"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"File","Print","Alt+F9","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal widget context"
"Text Editing","Query Replace","Shift+Alt+5","Editing Text"
"Text Editing","Yank Rectangle","Ctrl+X R Y","Editing Text"
"Edit","Backward Sexp","Shift+Ctrl+Alt+B","Editing Text"
"Window","Next View","Ctrl+F7","In Windows"
"Text Editing","Forward Paragraph","Ctrl+Down","Editing Text"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Text Editing","Backward Paragraph","Ctrl+Up","Editing Text"
"Text Editing","Delete Rectangle","Ctrl+X R D","Editing Text"
"Text Editing","Describe Command","Ctrl+H F","Editing Text"
"Text Editing","Eval Expression","Shift+Alt+;","In Windows"
"Text Editing","Just One Space","Alt+Space","Editing Text"
"Text Editing","Clear Rectangle","Ctrl+X R C","Editing Text"
"Text Editing","Query Replace Regexp","Shift+Ctrl+Alt+5","Editing Text"
"Text Editing","Begin Line","Shift+Home","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+9","Editing Text"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Task","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Text Editing","Copy Rectangle To Register","Ctrl+X R R","Editing Text"
"Text Editing","Set Mark","Ctrl+Space","Editing Text"
"Text Editing","Scroll Down","Alt+V","Editing Text"
"Navigate","Next Page","Alt+F7","In Windows"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Text Editing","I-Search forward","Ctrl+S","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+6","Editing Text"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Text Editing","Kbd Macro Call","Ctrl+X E","Editing Text"
"Text Editing","Transpose Lines","Ctrl+X Ctrl+T","Editing Text"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Text Editing","Previous Line","Shift+Up","Editing Text"
"Edit","Context Information","Shift+Alt+?","In Windows"
"Text Editing","Forward Word","Esc F","Editing Text"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Navigate","Backward History","Shift+Alt+8","In Windows"
"Text Editing","Forward Paragraph","Shift+Ctrl+Down","Editing Text"
